sr no,text,,,,,,,,,label
1,"""I had an amazing experience at this restaurant. The food and service were outstanding.""",,,,,,,,,1
2,"""This product exceeded my expectations. I'm extremely satisfied with my purchase.""",,,,,,,,,1
3,"""The movie was fantastic! I enjoyed every moment of it.""",,,,,,,,,1
4,"""I'm very pleased with the customer service. They were friendly and resolved my issue quickly.""",,,,,,,,,1
5,"""The presentation was informative and engaging. I learned a lot.""",,,,,,,,,1
6,"""I'm so happy with the results of this project. It turned out better than I imagined.""",,,,,,,,,1
7,"""The book was a page-turner. I couldn't put it down.""",,,,,,,,,1
8,"""The staff was incredibly helpful and went above and beyond to assist me.""",,,,,,,,,1
9,"""I'm thrilled with the quality of this product. It's worth every penny.""",,,,,,,,,1
10,"""The new update is amazing! The app runs smoothly and has great new features.""",,,,,,,,,1
