sr no,text,,,,,,,,,label
1,"""I can't believe how terrible this service is. I'm never coming back here again.""",,,,,,,,,0
2,"""The movie was a complete waste of time. I regret watching it.""",,,,,,,,,0
3,"""I'm so disappointed with the quality of this product. It's not worth the money.""",,,,,,,,,0
4,"""The presentation was boring and poorly organized. I didn't learn anything useful.""",,,,,,,,,0
5,"""I had a horrible experience at that restaurant. The food was cold and the staff was rude.""",,,,,,,,,0
6,"""This is the worst customer support I've ever dealt with. They were unhelpful and unfriendly.""",,,,,,,,,0
7,"""I'm fed up with all the delays and excuses. This project is a disaster.""",,,,,,,,,0
8,"""The book was poorly written and uninteresting. I struggled to finish it.""",,,,,,,,,0
9,"""I'm extremely unhappy with my purchase. It broke within a week of use.""",,,,,,,,,0
10,"""The new update ruined the app. It's full of bugs and crashes constantly.""",,,,,,,,,0
